Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Visual Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0010664,-2.9668E-11,0.020254,0,0,0,0.094037,0.00011281,-1.2535E-09,-3.8741E-07,0.00051375,-1.1243E-13,0.0005809,0,0,0,0,0,0,package://quadruped_description/meshes/visual/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/base_link.STL,,base-1,Global_Base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_fl_link,0.01441,0.015487,-3.6296E-06,0,0,0,0.036932,1.0384E-05,2.2805E-07,1.4325E-09,4.9125E-06,9.3618E-10,1.1663E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/hip_fl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/hip_fl_link.STL,,hip_fl-1,Hip_FL_CS,Hip_FL_Axis,hip_fl_joint,revolute,0.11257,0.016,0.02001,-0.13963,0,0,base_link,1,0,0,1,8,-0.6,0.6,,,,,3,-3,25,1.5
thigh_fl_link,0.0059586,0.0144,-0.050967,0,0,0,0.070547,0.00011482,1.1571E-07,1.7711E-05,0.00011582,-4.6911E-07,1.3808E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/thigh_fl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/thigh_fl_link.STL,,thigh_fl-1,Thigh_FL_CS,Thigh_FL_Axis,thigh_fl_joint,revolute,0.01414,0.046369,0,0,0.69813,0,hip_fl_link,0,1,0,1.2,7,-1,1.2,,,,,3,-3,20,1.2
shank_fl_link,0.038486,0.0078703,-0.025809,0,0,0,0.01943,8.3797E-06,-6.9541E-07,1.2055E-05,2.8711E-05,4.662E-07,2.1085E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/shank_fl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/shank_fl_link.STL,,shank_fl-1,Shank_FL_CS,Shank_FL_Axis,knee_fl_joint,revolute,0.018944,0.0288,-0.1,0,-0.5236,0,thigh_fl_link,0,-1,0,1.1,9,-0.1,2.4,,,,,3,-3,15,1
hip_fr_link,0.01441,-0.015487,-3.9483E-06,0,0,0,0.036932,1.0384E-05,-2.2743E-07,-1.4392E-09,4.9125E-06,9.3326E-10,1.1663E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/hip_fr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/hip_fr_link.STL,,hip_fr-1,Hip_FR_CS,Hip_FR_Axis,hip_fr_joint,revolute,0.11257,-0.016,0.02001,0.13963,0,0,base_link,-1,0,0,1,8,-0.6,0.6,,,,,3,-3,25,1.5
thigh_fr_link,0.0059512,-0.0144,-0.050969,0,0,0,0.070547,0.00011483,-1.1609E-07,1.7712E-05,0.00011583,4.7054E-07,1.3811E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/thigh_fr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/thigh_fr_link.STL,,thigh_fr-1,Thigh_FR_CS,Thigh_FR_Axis,thigh_fr_joint,revolute,0.01414,-0.046369,0,0,0.69813,0,hip_fr_link,0,1,0,1.2,7,-1,1.2,,,,,3,-3,20,1.2
shank_fr_link,0.038487,-0.0078703,-0.025809,0,0,0,0.01943,8.3797E-06,6.9502E-07,1.2055E-05,2.871E-05,-4.662E-07,2.1083E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/shank_fr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/shank_fr_link.STL,,shank_fr-1,Shank_FR_CS,Shank_FR_Axis,knee_fr_joint,revolute,0.018944,-0.0288,-0.1,0,-0.5236,0,thigh_fr_link,0,-1,0,1.1,9,-0.1,2.4,,,,,3,-3,15,1
hip_rr_link,0.01441,-0.015487,-3.9483E-06,0,0,0,0.036932,1.0384E-05,-2.2743E-07,-1.4392E-09,4.9125E-06,9.3326E-10,1.1663E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/hip_rr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/hip_rr_link.STL,,hip_rr-1,Hip_RR_CS,Hip_RR_Axis,hip_rr_joint,revolute,-0.10995,-0.016,0.02001,0.13963,0,0,base_link,-1,0,0,1,8,-0.6,0.6,,,,,3,-3,25,1.5
thigh_rr_link,0.0059512,-0.0144,-0.050969,0,0,0,0.070547,0.00011483,-1.1609E-07,1.7712E-05,0.00011583,4.7054E-07,1.3811E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/thigh_rr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/thigh_rr_link.STL,,thigh_rr-1,Thigh_RR_CS,Thigh_RR_Axis,thigh_rr_joint,revolute,-0.01414,-0.046369,0,0,0.69813,0,hip_rr_link,0,1,0,1.2,7,-1,1.2,,,,,3,-3,20,1.2
shank_rr_link,0.038487,-0.0078703,-0.025809,0,0,0,0.01943,8.3797E-06,6.9502E-07,1.2055E-05,2.871E-05,-4.662E-07,2.1083E-05,0,0,0,0,0,0,package://quadruped_description/meshes/visual/shank_rr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadruped_description/meshes/collision/shank_rr_link.STL,,shank_rr-1,Shank_RR_CS,Shank_RR_Axis,knee_rr_joint,revolute,0.018944,-0.0288,-0.1,0,-0.5236,0,thigh_rr_link,0,-1,0,1.1,9,-0.1,2.4,,,,,3,-3,15,1
